target,Density,MP,Tg,logP,logD,A_pKa,B_pKa,logS,logPapp,Kinetic_Solubility_Pred,Soubility_ethanol,Soubility_methanol,Soubility_DMF,Max_organic_solubility,Min_organic_solubility,MaxAbsEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,MaxPartialCharge,MinPartialCharge,BalabanJ,TPSA,FractionCSP3,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHeterocycles,NumRotatableBonds,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,RingCount,MolLogP,fr_Al_COO,fr_Al_OH,fr_ArN,fr_Ar_COO,fr_Ar_NH,fr_Ar_OH,fr_C_S,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_amidine,fr_aniline,fr_azide,fr_bicyclic,fr_halogen,fr_ketone,fr_lactam,fr_lactone,fr_nitro,fr_nitro_arom,fr_phos_acid,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_unbrch_alkane
0,1.180651784,208.0007935,51.03442764,3.500573158,3.647471905,8.417139053,3.011052132,-5.055570126,-4.69076252,1,-2.335146564,-2.229459118,-2.314142058,-1.948907509,-3.115129672,11.75030459,0.060892345,-0.892823549,0.746050157,48.73913043,312.453,0.155176402,-0.37702277,1.671196283,37.3,0.761904762,4,0,4,0,0,0,0,6,0,2,0,1,0,3,0,6,4,3.8826,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0
0,1.364702463,248.0732574,57.31650925,5.848598957,1.829247713,4.461366653,0.921065807,-7.614273071,-6.097860813,1,-2.702695928,-2.709552804,-2.605670443,-2.355501779,-3.70587465,12.93095826,0.111414657,-1.055692421,0.395692758,14.51515152,442.475,0.335200678,-0.505056603,1.6070477,114.59,0.12,0,1,1,1,3,0,3,0,0,6,1,5,0,0,0,0,4,4.56484,0,0,0,1,0,1,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.087875843,112.0758209,21.88746262,5.120631695,4.173487663,8.94084549,5.510109425,-5.906318665,-4.804246426,0,-2.332874821,-2.261944035,-2.296893373,-1.881528024,-3.102244297,11.19758023,0.115194043,-0.913682603,0.540960337,48.73913043,310.481,0.130896236,-0.377010292,1.74480748,20.23,0.727272727,4,0,4,0,0,0,0,6,0,1,0,1,0,3,0,0,4,4.8697,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
0,1.586106181,151.2828369,36.62450027,4.353589058,3.85711813,5.804850578,1.59658432,-6.207571983,-4.573501587,0,-2.098907762,-2.322956961,-2.282475484,-1.849288456,-3.190035196,15.7677715,0.049835846,-4.507098426,0.33651843,13.83783784,527.4,0.422066378,-0.484131519,1.643354186,85.95,0.217391304,0,0,0,0,2,2,4,1,0,7,2,8,0,0,0,0,4,4.6342,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
0,1.17842257,238.7694855,42.68828964,4.957099915,1.268233776,9.699349403,9.156485558,-2.525214434,-5.201534271,1,-2.657034926,-2.651764393,-2.755646244,-2.278426814,-3.504595187,9.913962034,0.376736111,0.376736111,0.771814375,37.52631579,257.377,0.115391768,-0.507955657,1.904867133,23.47,0.647058824,2,1,3,0,1,0,1,3,2,2,1,0,1,2,0,0,4,3.0804,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1.302613616,161.009613,43.69718552,4.816854477,2.618052483,3.82701993,3.871602297,-6.087100506,-6.506058693,1,-2.556351135,-2.586648063,-2.461954253,-2.154766448,-3.620016707,14.28035411,0.023202586,-4.067682946,0.105243047,15.88235294,740.945,0.325684562,-0.50796662,1.684131462,174.37,0.432432432,0,1,1,2,3,0,3,2,0,9,1,17,0,0,0,0,4,5.879,1,0,0,0,0,1,0,1,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,2
0,1.342647195,233.520752,64.93190002,2.387616396,1.818736076,8.111551285,3.031590462,-3.88323617,-5.091301918,1,-2.370210405,-2.430362688,-2.452867724,-1.975703072,-3.156735204,15.12961357,0.130506425,-1.694873578,0.677042226,51.25925926,378.44,0.189629163,-0.392760667,1.781065864,94.83,0.714285714,4,0,4,0,0,0,0,8,0,5,0,2,0,3,0,0,4,1.5056,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,0,0,0,0,0,0,0,0,0,0
0,1.189087272,60.82746887,-23.12486649,5.03853178,5.62026453,10.09185123,3.82302165,-4.077364445,-4.846449852,1,-2.44163991,-2.398028412,-2.421744892,-1.947361806,-3.092846844,12.50637411,0.011795004,-0.249862962,0.367567403,15.07692308,366.498,0.227501318,-0.489499143,2.275796037,72.83,0.714285714,1,0,1,0,0,0,0,0,0,5,0,14,0,0,0,0,1,4.2425,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9
0,1.28226614,237.6207886,54.25969315,5.634405136,2.237807751,5.093362808,5.099981308,-6.572950363,-4.907776356,1,-2.475730958,-2.401900292,-2.61420196,-2.083199902,-3.645821467,11.71013876,0.306514769,-0.920785583,0.243238592,11.46153846,514.629,0.335815767,-0.477623278,1.422264806,72.94,0.181818182,0,0,0,0,4,2,6,0,0,5,2,7,0,0,0,0,6,7.26442,0,0,0,1,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0,1.404832959,204.7062683,56.70971298,4.153559685,4.225313663,5.362174988,3.523778439,-5.537013054,-4.939927578,1,-2.358926957,-2.319804413,-2.455739586,-1.919612968,-3.65747676,14.4466164,0.018059111,-1.361713324,0.563953777,12.35483871,447.89,0.340723081,-0.496383818,2.322130447,88.76,0.304347826,0,0,0,0,2,1,3,1,0,5,1,7,0,0,0,0,3,4.281,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
0,2.377094746,218.8225708,64.57128906,3.233789206,1.440160036,2.856847286,8.319003105,-6.157214165,-5.225835323,1,-2.113027646,-2.034647316,-2.1322808,-1.61543823,-3.085155981,10.86643866,0.208657462,-1.01943397,0.426710171,12,650.976,0.320315512,-0.506845354,2.259938326,92.78,0.133333333,0,0,0,0,2,0,2,1,0,4,0,5,0,0,0,0,2,3.9527,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
