target,Density,MP,Tg,logP,logD,A_pKa,B_pKa,logS,logPapp,Kinetic_Solubility_Pred,Soubility_ethanol,Soubility_methanol,Max_organic_solubility,Min_organic_solubility,MaxAbsEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MinAbsPartialCharge,BalabanJ,FractionCSP3,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHDonors,NumSaturatedCarbocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,RingCount,MolLogP,fr_Al_COO,fr_Al_OH,fr_ArN,fr_Ar_COO,fr_Ar_NH,fr_Ar_OH,fr_C_S,fr_NH2,fr_N_O,fr_amidine,fr_aniline,fr_azide,fr_bicyclic,fr_halogen,fr_ketone,fr_lactam,fr_lactone,fr_nitro,fr_phos_acid,fr_phos_ester,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_unbrch_alkane
0,1.268789291,230.2190552,36.45858383,3.999080181,1.926057458,7.858635426,3.947201014,-4.282412529,-4.598677158,1,-2.51517393,-2.43284164,-2.01760811,-3.140599403,12.87004299,0.041293173,-1.584703746,0.700523428,46.24137931,404.503,0,0.302565672,-0.457741927,0.302565672,1.654619514,0.782608696,4,0,0,0,0,0,7,0,2,3,3,0,0,4,2.3524,0,2,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0
0,1.153373718,166.1847687,37.45969009,5.298043251,4.586902618,4.017031193,5.476191044,-6.243289948,-5.330289841,1,-2.544949535,-2.498592791,-2.099888658,-3.556185785,14.07419213,0.017092154,-1.028743641,0.152234085,19.59615385,719.924,0,0.243007033,-0.378792235,0.243007033,1.509822115,0.575,0,2,4,2,0,2,5,0,4,0,2,0,0,4,2.5835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1.525727034,205.2861481,44.76327133,1.530585408,1.738108277,6.399637699,2.870847225,-3.083639145,-4.45699358,1,-2.665045747,-2.877294051,-2.415715655,-3.499037853,14.62821419,0.176075087,-0.6076943,0.739645442,16.62962963,370.344,0,0.414335995,-0.441474125,0.414335995,1.584974808,0.235294118,0,1,1,1,2,3,1,0,1,0,1,0,0,4,1.3957,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,1.256637692,184.1650238,28.91614914,1.340831041,2.184767246,5.82466507,3.171343327,-3.127618313,-5.608884335,1,-2.592999495,-2.485352129,-2.083383027,-3.435568343,12.82666698,0.091930561,-1.694984426,0.463046153,12.89285714,384.245,0,0.474964712,-0.425736095,0.425736095,2.161933231,0.368421053,0,0,2,1,1,2,2,0,4,0,0,0,0,2,0.3606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.098843813,129.2037659,16.43338394,5.434387207,3.521054029,8.706882477,3.955071926,-5.71281147,-4.525379181,0,-2.390767106,-2.408751789,-1.995215459,-3.023673489,11.90310053,0.04109543,-0.04109543,0.673250323,45.88,344.495,0,0.305293342,-0.461777277,0.305293342,1.590853355,0.818181818,4,0,0,0,0,0,6,0,0,3,3,0,0,4,4.8401,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0
0,1.45516181,198.0241394,66.71118164,3.019545078,-0.100656509,4.823028564,4.49384737,-2.217886448,-5.973460674,1,-2.552977221,-2.373114956,-2.017425788,-3.314821015,15.02234364,0.036460108,-1.947471394,0.109538159,42.5,1085.156,0,0.202321905,-0.506740062,0.202321905,1.042558143,0.769230769,1,5,0,2,0,2,25,0,11,0,5,0,0,8,-0.24928,0,9,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0
0,1.239741921,211.3548126,-0.786903381,1.431429386,2.782797098,7.64278698,4.334117889,-4.822898865,-7.098052502,1,-2.50956364,-2.448327746,-2.037100339,-3.321439062,13.15517739,0.044517799,-1.002846251,0.178338586,29.63888889,540.708,0,0.329020594,-0.456048054,0.329020594,2.552335739,0.625,0,2,4,0,0,0,4,2,4,0,1,0,0,2,1.4296,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
0,1.483727694,148.2832947,72.43118286,1.987512827,1.688614607,8.714249611,2.622472763,-3.321437359,-4.445127964,1,-2.318406073,-2.192748696,-1.839047903,-3.011633027,11.17309996,0.405827664,-0.405827664,0.586359034,11.0625,216.192,0,0.335825578,-0.489678795,0.335825578,2.59603906,0.083333333,0,0,0,1,2,3,0,0,0,0,0,0,0,3,2.5478,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0,1.312866688,245.5240936,53.99747849,4.22901535,3.220544815,10.44651222,6.312828541,-5.591524601,-5.268587112,0,-2.672194086,-2.867194637,-2.265592423,-3.693669142,13.61960956,0.091088187,-0.20008043,0.29660706,12.28947368,498.586,0,0.257800117,-0.345517265,0.257800117,1.228249672,0.09375,0,1,2,4,1,5,0,0,2,0,0,0,0,6,6.50732,0,0,0,0,1,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0
0,1.099778295,108.0307541,-4.000312805,5.489718914,4.234871864,6.99348402,4.521945,-6.364441872,-4.432465076,1,-2.444712738,-2.360947147,-1.947224191,-3.076866085,13.05692217,0.033019111,-0.952890277,0.386183665,41.61290323,428.613,0,0.306296473,-0.450438061,0.306296473,1.594577955,0.814814815,4,0,0,0,0,0,6,0,0,3,3,0,0,4,5.9696,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,2
